scenario_id,test_id,flight_phase_code,flight_phase_name,phase_fault_definition,weather_code,weather_name,weather_meaning,mode_code,mode_name,mode_meaning,is_faulted,applied_fault,scenario_file_name,scenario_file_path,output_dir,random_seed,run_duration_sec
S0011,T0011,P02,Climb,Elevator/control-surface degradation,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0011_P02_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0011_P02_W01_M0.xml,outputs/T0011,53,90
S0012,T0012,P02,Climb,Elevator/control-surface degradation,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Elevator/control-surface degradation,S0012_P02_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0012_P02_W01_M1.xml,outputs/T0012,54,90
S0013,T0013,P02,Climb,Elevator/control-surface degradation,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0013_P02_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0013_P02_W02_M0.xml,outputs/T0013,55,90
S0014,T0014,P02,Climb,Elevator/control-surface degradation,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Elevator/control-surface degradation,S0014_P02_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0014_P02_W02_M1.xml,outputs/T0014,56,90
S0015,T0015,P02,Climb,Elevator/control-surface degradation,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0015_P02_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0015_P02_W03_M0.xml,outputs/T0015,57,90
S0016,T0016,P02,Climb,Elevator/control-surface degradation,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Elevator/control-surface degradation,S0016_P02_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0016_P02_W03_M1.xml,outputs/T0016,58,90
S0017,T0017,P02,Climb,Elevator/control-surface degradation,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0017_P02_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0017_P02_W04_M0.xml,outputs/T0017,59,90
S0018,T0018,P02,Climb,Elevator/control-surface degradation,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Elevator/control-surface degradation,S0018_P02_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0018_P02_W04_M1.xml,outputs/T0018,60,90
S0019,T0019,P02,Climb,Elevator/control-surface degradation,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0019_P02_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0019_P02_W05_M0.xml,outputs/T0019,61,90
S0020,T0020,P02,Climb,Elevator/control-surface degradation,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Elevator/control-surface degradation,S0020_P02_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0020_P02_W05_M1.xml,outputs/T0020,62,90
S0021,T0021,P03,Cruise,GPS loss or navigation dropout,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0021_P03_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0021_P03_W01_M0.xml,outputs/T0021,63,90
S0022,T0022,P03,Cruise,GPS loss or navigation dropout,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,GPS loss or navigation dropout,S0022_P03_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0022_P03_W01_M1.xml,outputs/T0022,64,90
S0023,T0023,P03,Cruise,GPS loss or navigation dropout,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0023_P03_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0023_P03_W02_M0.xml,outputs/T0023,65,90
S0024,T0024,P03,Cruise,GPS loss or navigation dropout,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,GPS loss or navigation dropout,S0024_P03_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0024_P03_W02_M1.xml,outputs/T0024,66,90
S0025,T0025,P03,Cruise,GPS loss or navigation dropout,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0025_P03_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0025_P03_W03_M0.xml,outputs/T0025,67,90
S0026,T0026,P03,Cruise,GPS loss or navigation dropout,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,GPS loss or navigation dropout,S0026_P03_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0026_P03_W03_M1.xml,outputs/T0026,68,90
S0027,T0027,P03,Cruise,GPS loss or navigation dropout,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0027_P03_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0027_P03_W04_M0.xml,outputs/T0027,69,90
S0028,T0028,P03,Cruise,GPS loss or navigation dropout,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,GPS loss or navigation dropout,S0028_P03_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0028_P03_W04_M1.xml,outputs/T0028,70,90
S0029,T0029,P03,Cruise,GPS loss or navigation dropout,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0029_P03_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0029_P03_W05_M0.xml,outputs/T0029,71,90
S0030,T0030,P03,Cruise,GPS loss or navigation dropout,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,GPS loss or navigation dropout,S0030_P03_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0030_P03_W05_M1.xml,outputs/T0030,72,90
S0031,T0031,P04,Turn / maneuver,Heading or IMU noise,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0031_P04_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0031_P04_W01_M0.xml,outputs/T0031,73,90
S0032,T0032,P04,Turn / maneuver,Heading or IMU noise,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Heading or IMU noise,S0032_P04_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0032_P04_W01_M1.xml,outputs/T0032,74,90
S0033,T0033,P04,Turn / maneuver,Heading or IMU noise,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0033_P04_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0033_P04_W02_M0.xml,outputs/T0033,75,90
S0034,T0034,P04,Turn / maneuver,Heading or IMU noise,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Heading or IMU noise,S0034_P04_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0034_P04_W02_M1.xml,outputs/T0034,76,90
S0035,T0035,P04,Turn / maneuver,Heading or IMU noise,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0035_P04_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0035_P04_W03_M0.xml,outputs/T0035,77,90
S0036,T0036,P04,Turn / maneuver,Heading or IMU noise,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Heading or IMU noise,S0036_P04_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0036_P04_W03_M1.xml,outputs/T0036,78,90
S0037,T0037,P04,Turn / maneuver,Heading or IMU noise,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0037_P04_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0037_P04_W04_M0.xml,outputs/T0037,79,90
S0038,T0038,P04,Turn / maneuver,Heading or IMU noise,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Heading or IMU noise,S0038_P04_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0038_P04_W04_M1.xml,outputs/T0038,80,90
S0039,T0039,P04,Turn / maneuver,Heading or IMU noise,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0039_P04_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0039_P04_W05_M0.xml,outputs/T0039,81,90
S0040,T0040,P04,Turn / maneuver,Heading or IMU noise,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Heading or IMU noise,S0040_P04_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0040_P04_W05_M1.xml,outputs/T0040,82,90
S0041,T0041,P05,Descent,Altimeter bias,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0041_P05_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0041_P05_W01_M0.xml,outputs/T0041,83,90
S0042,T0042,P05,Descent,Altimeter bias,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Altimeter bias,S0042_P05_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0042_P05_W01_M1.xml,outputs/T0042,84,90
S0043,T0043,P05,Descent,Altimeter bias,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0043_P05_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0043_P05_W02_M0.xml,outputs/T0043,85,90
S0044,T0044,P05,Descent,Altimeter bias,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Altimeter bias,S0044_P05_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0044_P05_W02_M1.xml,outputs/T0044,86,90
S0045,T0045,P05,Descent,Altimeter bias,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0045_P05_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0045_P05_W03_M0.xml,outputs/T0045,87,90
S0046,T0046,P05,Descent,Altimeter bias,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Altimeter bias,S0046_P05_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0046_P05_W03_M1.xml,outputs/T0046,88,90
S0047,T0047,P05,Descent,Altimeter bias,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0047_P05_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0047_P05_W04_M0.xml,outputs/T0047,89,90
S0048,T0048,P05,Descent,Altimeter bias,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Altimeter bias,S0048_P05_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0048_P05_W04_M1.xml,outputs/T0048,90,90
S0049,T0049,P05,Descent,Altimeter bias,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0049_P05_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0049_P05_W05_M0.xml,outputs/T0049,91,90
S0050,T0050,P05,Descent,Altimeter bias,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Altimeter bias,S0050_P05_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0050_P05_W05_M1.xml,outputs/T0050,92,90
S0051,T0051,P06,Approach,Airspeed sensor noise,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0051_P06_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0051_P06_W01_M0.xml,outputs/T0051,93,90
S0052,T0052,P06,Approach,Airspeed sensor noise,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Airspeed sensor noise,S0052_P06_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0052_P06_W01_M1.xml,outputs/T0052,94,90
S0053,T0053,P06,Approach,Airspeed sensor noise,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0053_P06_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0053_P06_W02_M0.xml,outputs/T0053,95,90
S0054,T0054,P06,Approach,Airspeed sensor noise,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Airspeed sensor noise,S0054_P06_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0054_P06_W02_M1.xml,outputs/T0054,96,90
S0055,T0055,P06,Approach,Airspeed sensor noise,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0055_P06_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0055_P06_W03_M0.xml,outputs/T0055,97,90
S0056,T0056,P06,Approach,Airspeed sensor noise,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Airspeed sensor noise,S0056_P06_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0056_P06_W03_M1.xml,outputs/T0056,98,90
S0057,T0057,P06,Approach,Airspeed sensor noise,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0057_P06_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0057_P06_W04_M0.xml,outputs/T0057,99,90
S0058,T0058,P06,Approach,Airspeed sensor noise,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Airspeed sensor noise,S0058_P06_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0058_P06_W04_M1.xml,outputs/T0058,100,90
S0059,T0059,P06,Approach,Airspeed sensor noise,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0059_P06_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0059_P06_W05_M0.xml,outputs/T0059,101,90
S0060,T0060,P06,Approach,Airspeed sensor noise,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Airspeed sensor noise,S0060_P06_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0060_P06_W05_M1.xml,outputs/T0060,102,90
S0061,T0061,P07,Landing,Landing-gear or braking degradation,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0061_P07_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0061_P07_W01_M0.xml,outputs/T0061,103,90
S0062,T0062,P07,Landing,Landing-gear or braking degradation,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Landing-gear or braking degradation,S0062_P07_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0062_P07_W01_M1.xml,outputs/T0062,104,90
S0063,T0063,P07,Landing,Landing-gear or braking degradation,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0063_P07_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0063_P07_W02_M0.xml,outputs/T0063,105,90
S0064,T0064,P07,Landing,Landing-gear or braking degradation,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Landing-gear or braking degradation,S0064_P07_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0064_P07_W02_M1.xml,outputs/T0064,106,90
S0065,T0065,P07,Landing,Landing-gear or braking degradation,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0065_P07_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0065_P07_W03_M0.xml,outputs/T0065,107,90
S0066,T0066,P07,Landing,Landing-gear or braking degradation,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Landing-gear or braking degradation,S0066_P07_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0066_P07_W03_M1.xml,outputs/T0066,108,90
S0067,T0067,P07,Landing,Landing-gear or braking degradation,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0067_P07_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0067_P07_W04_M0.xml,outputs/T0067,109,90
S0068,T0068,P07,Landing,Landing-gear or braking degradation,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Landing-gear or braking degradation,S0068_P07_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0068_P07_W04_M1.xml,outputs/T0068,110,90
S0069,T0069,P07,Landing,Landing-gear or braking degradation,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0069_P07_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0069_P07_W05_M0.xml,outputs/T0069,111,90
S0070,T0070,P07,Landing,Landing-gear or braking degradation,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Landing-gear or braking degradation,S0070_P07_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0070_P07_W05_M1.xml,outputs/T0070,112,90
S0071,T0071,P08,Go-around,Throttle response delay,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0071_P08_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0071_P08_W01_M0.xml,outputs/T0071,113,90
S0072,T0072,P08,Go-around,Throttle response delay,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Throttle response delay,S0072_P08_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0072_P08_W01_M1.xml,outputs/T0072,114,90
S0073,T0073,P08,Go-around,Throttle response delay,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0073_P08_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0073_P08_W02_M0.xml,outputs/T0073,115,90
S0074,T0074,P08,Go-around,Throttle response delay,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Throttle response delay,S0074_P08_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0074_P08_W02_M1.xml,outputs/T0074,116,90
S0075,T0075,P08,Go-around,Throttle response delay,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0075_P08_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0075_P08_W03_M0.xml,outputs/T0075,117,90
S0076,T0076,P08,Go-around,Throttle response delay,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Throttle response delay,S0076_P08_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0076_P08_W03_M1.xml,outputs/T0076,118,90
S0077,T0077,P08,Go-around,Throttle response delay,W04,Gust / turbulence,Moderate gust and turbulence profile,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0077_P08_W04_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0077_P08_W04_M0.xml,outputs/T0077,119,90
S0078,T0078,P08,Go-around,Throttle response delay,W04,Gust / turbulence,Moderate gust and turbulence profile,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Throttle response delay,S0078_P08_W04_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0078_P08_W04_M1.xml,outputs/T0078,120,90
S0079,T0079,P08,Go-around,Throttle response delay,W05,Low visibility / rain,Reduced visibility and precipitation setting,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0079_P08_W05_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0079_P08_W05_M0.xml,outputs/T0079,121,90
S0080,T0080,P08,Go-around,Throttle response delay,W05,Low visibility / rain,Reduced visibility and precipitation setting,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Throttle response delay,S0080_P08_W05_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0080_P08_W05_M1.xml,outputs/T0080,122,90
S0081,T0081,P09,Holding / loiter,Communication interruption,W01,Calm,"Low wind, no gust, nominal visibility",M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0081_P09_W01_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0081_P09_W01_M0.xml,outputs/T0081,123,90
S0082,T0082,P09,Holding / loiter,Communication interruption,W01,Calm,"Low wind, no gust, nominal visibility",M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Communication interruption,S0082_P09_W01_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0082_P09_W01_M1.xml,outputs/T0082,124,90
S0083,T0083,P09,Holding / loiter,Communication interruption,W02,Light wind,Low-to-moderate steady wind,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0083_P09_W02_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0083_P09_W02_M0.xml,outputs/T0083,125,90
S0084,T0084,P09,Holding / loiter,Communication interruption,W02,Light wind,Low-to-moderate steady wind,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Communication interruption,S0084_P09_W02_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0084_P09_W02_M1.xml,outputs/T0084,126,90
S0085,T0085,P09,Holding / loiter,Communication interruption,W03,Crosswind,Directional crosswind appropriate to phase,M0,Nominal,No injected subsystem fault; weather profile still applies.,False,,S0085_P09_W03_M0.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0085_P09_W03_M0.xml,outputs/T0085,127,90
S0086,T0086,P09,Holding / loiter,Communication interruption,W03,Crosswind,Directional crosswind appropriate to phase,M1,Faulted,Inject the phase-specific fault listed in Section 3.1.,True,Communication interruption,S0086_P09_W03_M1.xml,C:\Users\Home 12\Music\BACKEND\scenarios\generated\S0086_P09_W03_M1.xml,outputs/T0086,128,90
